Amount,Use Chip,Merchant City,Merchant State,MCC,Is Fraud?,Amount_Rupiah,date
134.09,Swipe Transaction,La Verne,CA,5300,No,2212485.0,2002-09-01
38.48,Swipe Transaction,Monterey Park,CA,5411,No,634920.0,2002-09-01
120.34,Swipe Transaction,Monterey Park,CA,5411,No,1985610.0,2002-09-02
128.95,Swipe Transaction,Monterey Park,CA,5651,No,2127675.0,2002-09-02
104.71,Swipe Transaction,La Verne,CA,5912,No,1727715.0,2002-09-03
86.19,Swipe Transaction,Monterey Park,CA,5970,No,1422135.0,2002-09-03
93.84,Swipe Transaction,Monterey Park,CA,5411,No,1548360.0,2002-09-04
123.5,Swipe Transaction,Monterey Park,CA,5411,No,2037750.0,2002-09-04
61.72,Swipe Transaction,Monterey Park,CA,5411,No,1018380.0,2002-09-05
57.1,Swipe Transaction,La Verne,CA,7538,No,942150.0,2002-09-05
76.07,Swipe Transaction,La Verne,CA,5814,No,1255155.0,2002-09-05
53.91,Online Transaction,ONLINE,Unknown,4900,No,889515.0,2002-09-05
110.37,Swipe Transaction,Mira Loma,CA,5541,No,1821105.0,2002-09-06
117.05,Swipe Transaction,Monterey Park,CA,5411,No,1931325.0,2002-09-07
45.3,Swipe Transaction,Monterey Park,CA,5942,No,747450.0,2002-09-07
29.34,Swipe Transaction,La Verne,CA,7538,No,484110.0,2002-09-07
147.45,Swipe Transaction,La Verne,CA,5912,No,2432925.0,2002-09-08
27.75,Swipe Transaction,La Verne,CA,5411,No,457875.0,2002-09-08
76.57,Swipe Transaction,Monterey Park,CA,5411,No,1263405.0,2002-09-08
22.56,Swipe Transaction,Mira Loma,CA,7832,No,372240.0,2002-09-08
37.5,Swipe Transaction,La Verne,CA,5411,No,618750.0,2002-09-09
65.5,Swipe Transaction,La Verne,CA,7538,No,1080750.0,2002-09-09
56.42,Swipe Transaction,La Verne,CA,5311,No,930930.0,2002-09-09
2.71,Swipe Transaction,La Verne,CA,5411,No,44715.0,2002-09-09
144.9,Online Transaction,ONLINE,Unknown,4899,No,2390850.0,2002-09-09
160.0,Swipe Transaction,Mira Loma,CA,4829,No,2640000.0,2002-09-10
102.18,Swipe Transaction,La Verne,CA,5300,No,1685970.0,2002-09-10
36.73,Swipe Transaction,La Verne,CA,5912,No,606045.0,2002-09-10
29.33,Swipe Transaction,Mira Loma,CA,7832,No,483945.0,2002-09-10
162.39,Swipe Transaction,La Verne,CA,5411,No,2679435.0,2002-09-11
34.4,Swipe Transaction,La Verne,CA,5912,No,567600.0,2002-09-11
62.06,Swipe Transaction,Mira Loma,CA,5541,No,1023990.0,2002-09-11
-99.0,Swipe Transaction,Mira Loma,CA,5541,No,-1633500.0,2002-09-11
99.0,Swipe Transaction,Mira Loma,CA,5541,No,1633500.0,2002-09-11
80.18,Swipe Transaction,La Verne,CA,5812,No,1322970.0,2002-09-11
122.1,Swipe Transaction,La Verne,CA,5411,No,2014650.0,2002-09-12
92.76,Swipe Transaction,La Verne,CA,5411,No,1530540.0,2002-09-12
52.52,Swipe Transaction,La Verne,CA,5411,No,866580.0,2002-09-12
1.13,Swipe Transaction,La Verne,CA,5499,No,18645.0,2002-09-12
126.79,Swipe Transaction,La Verne,CA,5300,No,2092035.0,2002-09-13
44.41,Swipe Transaction,La Verne,CA,5912,No,732765.0,2002-09-13
164.37,Swipe Transaction,La Verne,CA,5912,No,2712105.0,2002-09-14
12.76,Swipe Transaction,La Verne,CA,5814,No,210540.0,2002-09-14
109.94,Swipe Transaction,La Verne,CA,5912,No,1814010.0,2002-09-15
126.29,Swipe Transaction,La Verne,CA,5311,No,2083785.0,2002-09-15
40.81,Swipe Transaction,La Verne,CA,5411,No,673365.0,2002-09-15
81.35,Swipe Transaction,Diamond Bar,CA,5719,No,1342275.0,2002-09-15
115.34,Swipe Transaction,La Verne,CA,5300,No,1903110.0,2002-09-16
44.25,Swipe Transaction,La Verne,CA,5411,No,730125.0,2002-09-16
120.19,Swipe Transaction,La Verne,CA,5912,No,1983135.0,2002-09-17
159.72,Swipe Transaction,La Verne,CA,5912,No,2635380.0,2002-09-17
128.85,Swipe Transaction,La Verne,CA,5300,No,2126025.0,2002-09-18
92.3,Swipe Transaction,La Verne,CA,5814,No,1522950.0,2002-09-18
168.11,Swipe Transaction,La Verne,CA,5912,No,2773815.0,2002-09-19
53.09,Swipe Transaction,La Verne,CA,7538,No,875985.0,2002-09-19
104.77,Swipe Transaction,La Verne,CA,5311,No,1728705.0,2002-09-20
119.69,Swipe Transaction,La Verne,CA,5311,No,1974885.0,2002-09-20
145.5,Swipe Transaction,Mira Loma,CA,5541,No,2400750.0,2002-09-21
48.34,Swipe Transaction,Monterey Park,CA,5942,No,797610.0,2002-09-21
2.79,Swipe Transaction,Monterey Park,CA,5411,No,46035.0,2002-09-21
47.51,Swipe Transaction,La Verne,CA,5411,No,783915.0,2002-09-22
51.98,Swipe Transaction,La Verne,CA,7538,No,857670.0,2002-09-22
82.9,Swipe Transaction,La Verne,CA,7538,No,1367850.0,2002-09-22
76.37,Swipe Transaction,Mira Loma,CA,5812,No,1260105.0,2002-09-22
134.89,Swipe Transaction,La Verne,CA,5300,No,2225685.0,2002-09-23
35.28,Swipe Transaction,La Verne,CA,5912,No,582120.0,2002-09-23
80.65,Swipe Transaction,La Verne,CA,5814,No,1330725.0,2002-09-23
112.67,Swipe Transaction,La Verne,CA,5300,No,1859055.0,2002-09-24
162.26,Swipe Transaction,La Verne,CA,5912,No,2677290.0,2002-09-25
39.38,Swipe Transaction,Monterey Park,CA,5411,No,649770.0,2002-09-25
55.76,Swipe Transaction,La Verne,CA,5499,No,920040.0,2002-09-25
100.0,Swipe Transaction,La Verne,CA,5499,No,1650000.0,2002-09-25
-100.0,Swipe Transaction,La Verne,CA,5499,No,-1650000.0,2002-09-25
93.37,Swipe Transaction,La Verne,CA,5300,No,1540605.0,2002-09-26
199.71,Swipe Transaction,Monterey Park,CA,5411,No,3295215.0,2002-09-27
23.18,Swipe Transaction,La Verne,CA,5411,No,382470.0,2002-09-27
57.64,Swipe Transaction,La Verne,CA,7538,No,951060.0,2002-09-27
78.46,Swipe Transaction,La Verne,CA,5411,No,1294590.0,2002-09-28
141.7,Swipe Transaction,La Verne,CA,5912,No,2338050.0,2002-09-28
55.41,Swipe Transaction,La Verne,CA,7538,No,914265.0,2002-09-28
153.36,Swipe Transaction,La Verne,CA,4900,No,2530440.0,2002-09-28
119.61,Swipe Transaction,La Verne,CA,5912,No,1973565.0,2002-09-29
120.25,Swipe Transaction,La Verne,CA,5912,No,1984125.0,2002-09-29
40.58,Swipe Transaction,La Verne,CA,5912,No,669570.0,2002-09-29
165.96,Swipe Transaction,Mira Loma,CA,4814,No,2738340.0,2002-09-29
127.32,Online Transaction,ONLINE,Unknown,5311,No,2100780.0,2002-09-30
38.13,Swipe Transaction,La Verne,CA,5912,No,629145.0,2002-09-30
11.3,Swipe Transaction,Mira Loma,CA,5541,No,186450.0,2002-09-30
80.05,Swipe Transaction,La Verne,CA,5814,No,1320825.0,2002-09-30
119.73,Swipe Transaction,La Verne,CA,5912,No,1975545.0,2002-10-01
30.9,Swipe Transaction,Monterey Park,CA,5411,No,509850.0,2002-10-01
34.89,Swipe Transaction,La Verne,CA,5300,No,575685.0,2002-10-01
139.34,Swipe Transaction,Mira Loma,CA,5541,No,2299110.0,2002-10-02
46.46,Swipe Transaction,La Verne,CA,5411,No,766590.0,2002-10-03
102.74,Swipe Transaction,Monterey Park,CA,5411,No,1695210.0,2002-10-03
36.44,Swipe Transaction,Monterey Park,CA,5942,No,601260.0,2002-10-03
114.87,Swipe Transaction,La Verne,CA,5300,No,1895355.0,2002-10-04
53.13,Swipe Transaction,La Verne,CA,7538,No,876645.0,2002-10-05
16.87,Swipe Transaction,La Verne,CA,7210,No,278355.0,2002-10-05
139.39,Online Transaction,ONLINE,Unknown,5311,No,2299935.0,2002-10-06
133.96,Swipe Transaction,La Verne,CA,5411,No,2210340.0,2002-10-07
100.0,Swipe Transaction,Mira Loma,CA,4829,No,1650000.0,2002-10-08
154.7,Swipe Transaction,La Verne,CA,5912,No,2552550.0,2002-10-08
27.22,Swipe Transaction,La Verne,CA,5193,No,449130.0,2002-10-08
118.25,Swipe Transaction,Mira Loma,CA,5541,No,1951125.0,2002-10-09
31.01,Swipe Transaction,Monterey Park,CA,5942,No,511665.0,2002-10-09
53.09,Online Transaction,ONLINE,Unknown,5193,No,875985.0,2002-10-09
142.06,Swipe Transaction,La Verne,CA,5912,No,2343990.0,2002-10-10
172.67,Swipe Transaction,La Verne,CA,5912,No,2849055.0,2002-10-11
159.46,Swipe Transaction,La Verne,CA,5411,No,2631090.0,2002-10-11
37.69,Swipe Transaction,Monterey Park,CA,5942,No,621885.0,2002-10-11
87.47,Swipe Transaction,La Verne,CA,5814,No,1443255.0,2002-10-11
168.96,Swipe Transaction,La Verne,CA,5411,No,2787840.0,2002-10-12
135.41,Swipe Transaction,La Verne,CA,5300,No,2234265.0,2002-10-13
30.0,Swipe Transaction,La Verne,CA,5912,No,495000.0,2002-10-13
58.62,Swipe Transaction,La Verne,CA,5499,No,967230.0,2002-10-13
-99.0,Swipe Transaction,La Verne,CA,5499,No,-1633500.0,2002-10-13
99.0,Swipe Transaction,La Verne,CA,5499,No,1633500.0,2002-10-13
100.75,Swipe Transaction,La Verne,CA,5912,No,1662375.0,2002-10-14
1049.82,Swipe Transaction,San Diego,CA,3058,No,17322030.0,2002-10-14
207.0,Swipe Transaction,Tilden,NE,3395,No,3415500.0,2002-10-14
99.09,Swipe Transaction,Lincoln,NE,5912,No,1634985.0,2002-10-15
-88.0,Swipe Transaction,Lincoln,NE,5541,No,-1452000.0,2002-10-15
88.0,Swipe Transaction,Lincoln,NE,5541,No,1452000.0,2002-10-15
55.3,Swipe Transaction,Lincoln,NE,5541,No,912450.0,2002-10-15
93.02,Swipe Transaction,Lincoln,NE,5651,No,1534830.0,2002-10-15
142.68,Swipe Transaction,Tilden,NE,3395,No,2354220.0,2002-10-16
-207.0,Swipe Transaction,Tilden,NE,3395,No,-3415500.0,2002-10-16
3.65,Swipe Transaction,Monterey Park,CA,5411,No,60225.0,2002-10-16
521.24,Swipe Transaction,La Verne,CA,6300,No,8600460.0,2002-10-16
114.05,Swipe Transaction,La Verne,CA,5300,No,1881825.0,2002-10-17
91.1,Swipe Transaction,La Verne,CA,5411,No,1503150.0,2002-10-18
1.84,Swipe Transaction,La Verne,CA,5499,No,30360.0,2002-10-18
130.22,Swipe Transaction,La Verne,CA,5411,No,2148630.0,2002-10-19
24.02,Swipe Transaction,La Verne,CA,5912,No,396330.0,2002-10-19
41.02,Swipe Transaction,La Verne,CA,5912,No,676830.0,2002-10-20
43.69,Swipe Transaction,La Verne,CA,5912,No,720885.0,2002-10-21
49.08,Swipe Transaction,Mira Loma,CA,5541,No,809820.0,2002-10-21
-57.0,Swipe Transaction,Mira Loma,CA,5541,No,-940500.0,2002-10-21
57.0,Swipe Transaction,Mira Loma,CA,5541,No,940500.0,2002-10-21
164.49,Swipe Transaction,La Verne,CA,5300,No,2714085.0,2002-10-22
201.62,Swipe Transaction,La Verne,CA,5300,No,3326730.0,2002-10-23
17.82,Swipe Transaction,La Verne,CA,7538,No,294030.0,2002-10-23
118.96,Swipe Transaction,La Verne,CA,5912,No,1962840.0,2002-10-24
66.0,Swipe Transaction,La Verne,CA,5499,No,1089000.0,2002-10-24
62.01,Swipe Transaction,La Verne,CA,5499,No,1023165.0,2002-10-24
-66.0,Swipe Transaction,La Verne,CA,5499,No,-1089000.0,2002-10-24
39.12,Swipe Transaction,Monterey Park,CA,5411,No,645480.0,2002-10-25
148.58,Swipe Transaction,La Verne,CA,5411,No,2451570.0,2002-10-25
35.82,Swipe Transaction,Diamond Bar,CA,5719,No,591030.0,2002-10-25
73.35,Swipe Transaction,La Verne,CA,5814,No,1210275.0,2002-10-25
119.43,Swipe Transaction,La Verne,CA,5912,No,1970595.0,2002-10-26
38.42,Swipe Transaction,Monterey Park,CA,5942,No,633930.0,2002-10-26
216.47,Swipe Transaction,La Verne,CA,8043,No,3571755.0,2002-10-26
131.02,Swipe Transaction,Mira Loma,CA,5541,No,2161830.0,2002-10-27
37.06,Swipe Transaction,La Verne,CA,5912,No,611490.0,2002-10-27
