image_name,date,total_amount_dollar,total_amount_rupiah,raw_text
X51007231344.jpg,unknown,18.21,300465,"ansdot unihakka international sdn bhd 05 2018 18.21 867388-u 12, jalan tampoi 7/4,kawasan perindustrian tampoi,81200 johor bahru,johor taxinvoice invoice or18050502160248 item total sr 100100000035- meat 3 s7.10 s7.10 sr i00100000170- imported veggies 1.60 s1.60 sr 100100000099- coke s2.50 s2.50 total amount s11.20 gst 69 0.63 nett total 11.20 payment mode amount cash s11.20 change s0.00 gst summary amount s taxys sr gst 6 10.57 63 gst reg 000656195584 bar wang rice permas jaya price inclusive of gst thank you come againl like and follow us on facebookl facebook com/barwangrice may aty vege"
X51005442344.jpg,13/03/2018,700.88,11564520,"yozo 2 yong tat hardware trading jm0292437-d no4,jalan perjiranan 10, taman air biru 81700 pasir gudang, johor tel 07-2614733 fax 07-2514733 yongtat99 yahoo.ccm.my gstid 001570349056 iaxinvqice no c500035863 date 13/03/2018 joc cashier user time 12.49.00 rel, salasperson gst gst s/price aralint itern 48.0q 50.88 50.08 2597 1.q0 pcs 10 wing compass ipiaoi 1.00 set 47.17 60.00 50.00 6736 1/8 -3/4 1rpcs hollow punch set sp1 700.88 total qty total sales excluding gst 95.17 discount 0.oo total st 5.71 roundlng total sales inclugive of g8t 100,90 cash 101.00 change 0.10 tst summary iax cede aioubn iax rm 95.17 5.71 sr total 95.17 goods oli are not returnable thank yqu i47 sipica 6.71"
X51008142030.jpg,05-06-2018,0.0,0,"cne one three seafood restaurant sdn bhd 1120908-m no, 1 taman sri denckil jalan air hitam 43800 dengkil , selangor gst no 000670224384 tax invoice table 37 bi 71 ,v001-539829 order 139931 date 05-06-2018 20 23 14 cashier 113 cashier pax s 0 oty description total tax 0 15,00 sr cme lete item 0 10,00 sr item 5 1 d 22 ,00 sr rice w seafood /meat item single 0 5 , 00 sr beverage tota excluding gst 52 , 00 total inclusive of gst 52 , 00 total 52 00 closed 05-06-2018 20 56 06 server 113 cashier cash 52 , 00 gst sunmary amount rm tax rm sr ox 52 , 00 0,00 thank you please come again reg vege"
X51005447853.jpg,unknown,150.08,2476320,"39 steed mart s/d 519537.x lot p,t. 2811, jalan anbsa, tahan berkeley 41150 klang, sclangor 1317 trilliuh sc besi gst ic . no 6 00c181747712 invdecc nd 1 18298/102/70230 g1.345m 588813 05 02-18 350g voxcchun lokam mndrn rm6z.50 z 25 x rk 12.50 2508 yonschhui lokak mndrn rn79 . d0 2 05 x rk 15.80 total sales iclusive gst rl 141.56 cash rh 150.08 cange r 8,50 bs7 summary amzuzit rm tax rk 2 141.50 q0 tharif yji. niease come the iivgice gr applicable teturns again keep"
X51007339113.jpg,24/07/2017,6.0,99000,"sanyu stationery shop no. 3168336, jalan setia indah x ,u13/x 40170 setia alam mobile /whatsapps 6012-918 7937 tel 603-3362 4137 gst id no 001531760340 tax invoice owned by sanyu supply sdn bhd 1135772-k cash sales counter 1.2012-0029 restaurant order chit ncr 3.5 x6 2 x 2.9000 5.80 sr total sales inclusive gst 6 5,80 discount 0.00 total 5.80 round adj 0.00 final total 5.80 cash 6.00 change 0.20 gst summary amount rm tax rm sr 6 5.47 0.33 inv no cs-sa-0098805 date 24/07/2017 goods soldare not returnable refundable thank you for yourpatronage please come again terima kasih sila datang lagi x please keep this receipt for prove of purchase date for e.tproduct warranty purpose 44 follow us in facebook sanyu.stationery"
X51005453729.jpg,unknown,715.0,11797500,"3180303 lan hing stationery sdn bhd 162761-m n0.32 33, jalan sr 1 9 seksyen 9 taman serdang raya, 4jjou seri kembangan selangor darul ehsan gst id 0021 9201536 tax invoice 27 032018 no 20242 oty tax rm durafile h399 110 9srrrr 100 sr 58,30 name h 0 5500 809 metal narre badge sr 21.20 100 20 0ooo total anit incl gst 6 79 50 rounding adjustment total ajnt payabie 79 50 paid amount 100.00 change 20 50 totd tender 101 gst summary amount tax rm rm sr a 715.00 50 total 75.00 50 thank you for anv enullirv nleas rantact is cs badge clp ary"
X51005763940.jpg,00-88-5200,22.0,363000,"hatey nqman norman m sia paradigm mal elitetrax marketing sdn bhd 616227-0 lot if-01802 , ist flr,paradigm mall, no jalan ss 7/284 , kelana jaya, 47301 petal ing jaya tel 1300-88-5200 hn customer service gst reg . no 00055 1 006208 44 original 4 you were served by salesman ch chern 6005283 canon cart pg-47bk 2 22.00 60 . 00 s6 total inc .qf gst 60 . 00 uob terminal rm 60 . 00 card no 9014 auth code r13299 gst inclusii 2 amount rm tax rm s6 6.00 of 60 , 00 3.40 date time branch pos transac 11.02.18 14 08 2007 2 2440 salesmanid cashier id cashiername 803216 801817 norshaf ika use this code welcomezo to enjoy rm 20 discount online now shop with confidence at harvey norman. keep receipt as proof of purchase visit www.harveynorman. com.my for more promotions ad offers. 660002007000020024409120180211140759 harvey"
X51005711442.jpg,16-03-2018,12.07,199155,"restoran wan sheng 002043319-w no,2 , jalan temenggung 19/9 , seksyen 9 bandar mahkota cheras , 43200 cheras selangor gst reg no 001335787520 tax invoice inv no 1047523 cashier thandar date 16-03-2018 12.07 10 descript ion qty u.price tota tax kopi 8 1 x 2,20 2.20 sr teh b 1 x 2,20 2,20 sr cham b 2 x 2,20 4,40 sr take away 4 x 0,20 0, 80 sr tota qty 8 tota excluding gst 9,07 gst payable 6x 0,53 total inclusive of gst 9,60 total 9 60 cash 9,60 gst summary amount rm tax rm sr 6x 9,07 0,53"
X51006389888.jpg,unknown,60.0,990000,"99 speed hart s/8 519537-x lot p.t 2814, jalan angsa, tahan berkeley 41150 klang, selangor 1214-jinjang utara gst id. no 8 000181747712 invoice nd 0 18203/102/t0466 o9 o8pr 567455 01-14-17 0515 snex ku tam tah crab f rh.65 0649 tic tac candy mint wh rm2. 10 5178 hentos sour hix chewy r72. 45 2651 munchys cracker sandhi r78. 38 02 x rm 4.19 0249 julies peanut butter rmz. 55 820 pipit bleach 2 1kg tp ra4 . 20 480 top super white red 2 rm12.65 5 9170 ca3210 cahel shorthand rhi.90 9413 cs 1002 45 h/cover not rm4.80 8445 7cc uhu glue rm4. 40 02 x rh 2.20 total sales inclusive ost rh 52.08 rounding adjustaent rh 02 rounding rh 52.10 cash rh 60.00 change rm 7.90 gst suntary abount rm tax rh 9 67 49.12 2.96 thank you please cone keep the invoice for applicable returns pa pb again"
X51007419197.jpg,28/06/2018,50.0,825000,"tq for shopping with mvnews com pusat dagangaa phileo damansara unit 105, 8lock a,pusat dagangan ph leo damansara, no.9,jalan 16/11,,46350,petaling jaya,selangor mynewscareline 1800 88 1231 mynewscareline mynews com my mynews retail sb 306295-x bison stores sb tax reg id cbp 000709361664 qty price disc amt gp greencell extra heav duty aaa 4 2 6.00 0.00 6.00 sr sub total 6.00 grand total 6.00 cash 50.00 myr 50.00 change due 44.00 total qty sr 0 goods 6.00 tax 0.00 28/06/2018 3.11.35 pm bill 1856 608 9161 2806180322 price is gst inclusive fka"
X51008123604.jpg,24/06/2018,53.06,875490,"hu cslass jimart sp3 ogn group sdn bhd roc 1026984-x no.29m, jalan dinar g u3/g, seksyen u3, subang perdana, 40150 shah alam 013-336 3999 gst no 002077622272 taxinvoice invoice no sp3-01-148852 date 24/06/2018 4 37 37 pm cashier jimart descriptior qty price amount sr 0809152 745 7,45 rhomb scissors 4 2040 sr 1050901900021 7.45 7.45 sharpening stone 108 8 sr 9555047307540 4.62 4,62 lava water jug 2.25l sr 24900007 12 2.74 32.88 glass wiflower lg1ooo1 totai item discount 0.00 total sales inclusive gst 0.00 52.40 rounding adjustment 0.00 total 52.40 cash 53.06 change 0.60 gst summary amount rm tax rm sr 0.00 52.40 0.00 tlove jimart goods sold are not returnable thank you please come again reg"
X51006556815.jpg,05/09/2017,40.3,664950,"gakdrnia makekies ri sdn kiii 39.386 x lol , jalan peabur 2m/1, 40.300 shah alam, selaugor , te 0j 55428228 far 5- 5542213 gst i uuu.3x .599040 tax invoice adjusthent note cash inv no, 7905f713 ve05 4 dale 05/09/2017 hakassar fresh harket son bhd ground floor no jalan ss 15/4b 47500 subang jaya , selangor veos ridzuan 1900 ddd 05/09/20 7 l 08 description u p exc sale amt m 0. . white 2.13 u . wholemeal 2.78 2 78 0 jumbo 97 5 m totol o supplie 23,63 cr-vanilla z0 14. cr-cori 20 14.46 total 68 supplies excl , gst 28.80 gst 1,72 total 68 supplies inc , gst 30,52 total ox supplies 23,63 total payable 54,15 0ea received abo goods in good urder conditian the cipient of gardema praducts 15 requred t0 wdke necessary adjustents to 1ts tiput tax clois on the das c of the adjus tuents shorin in this tax invoice adjus tllient note customerscory iss"
X51005441408.jpg,10-03-2018,190.0,3135000,"32 pub bistro own by cnu trading 78g, jalan ss21/62, damansara utama, 47400 petaling jaya gst reg no 000416321536 tax invoice table 5 inv no 504233 pax s 0 date 10-03-2018 23 03 06 cashier chen descr iption oty u.price total tax heineken 5 btl 2 x 95. 00 190. 00 sr total excluding gst i74.25 gst payahle 10. 75 totai inclusive of gst 190 00 total 190.00 closed 32 11-03-2018 q0 32 02 ser ver chen cash 200 . 0 change 10. 00 gst summary amount rm tax rm sr 6 10.75 xxtr thank you x dnicn nnin na 7,25 i"
